rank,ticker,growth_rank_score,score_growth,score_profit,penalty,total_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,score_value,score_safety
1735,6245,10.843688386430838,6.003688386430838,4.84,0.0,25.843688386430838,False,実質無借金,0.1787775579935617,48355528000.0,3.001844193215419,1681555000.0,905898000.0,2.42,0.7312533,30.304495,61.98492250940094,2.6112789273344363,False,45077088000.0,61693290000.0,38240538000.0,6836550000.0,11755531000.0,False,[],46946274000.0,,,False,5.0,10.0
1736,4425,10.834867767113689,10.834867767113689,0.0,-40.0,0.0,False,実質無借金,0.06387519298292679,517549000.0,5.4174338835568445,-800595000.0,-801723000.0,-18.673000000000002,6.541404,-137.55458,91.79054990967835,-16.823736620810024,False,3331106000.0,3411142000.0,3131106000.0,200000000.0,2593858000.0,False,[],490952000.0,,,False,5.0,10.0
1737,4813,10.75985137311587,10.75985137311587,0.0,-40.0,0.0,False,実質無借金,0.10266705491641472,15930903000.0,5.379925686557935,-2259548000.0,-5383524000.0,-62.83800000000001,3.1494048,39.935066,46.68982900204629,-14.270031639434052,False,11083953000.0,21529205000.0,10051949000.0,1032004000.0,10809048000.0,False,[],15117588000.0,,,False,0.0,8.896609667348763
1738,4625,10.717310196691184,3.7353101966911835,6.981999999999999,0.0,30.40844569669118,False,実質無借金,0.009660212646396901,12348498000.0,1.8676550983455917,350774000.0,228836000.0,3.4909999999999997,0.38789642,11.235458,68.89594001536088,2.3492913475929695,False,10451739000.0,15025180000.0,10351739000.0,100000000.0,2831524000.0,False,[],12122099000.0,,,False,9.6911355,10.0
1739,3863,10.710048207315598,2.590048607315598,8.1199996,0.0,23.476476827389007,False,,1.8151087912635055,1182431000000.0,1.295024303657799,19708000000.0,4539000000.0,4.0599998,0.29351625,7.794416,28.29928586022023,1.0166623678101625,False,1356950000000.0,1703308000000.0,482024000000.0,874926000000.0,185941000000.0,False,[],1167314000000.0,,,False,10.0,2.7664286200734103
1740,3446,10.68605488963123,10.68605488963123,0.0,0.0,20.68605488963123,False,実質無借金,0.1935506717833918,2010340000.0,5.343027444815615,285837000.0,199591000.0,-7.126,3.4365747,131.57895,75.59244203679754,6.216280283589231,False,3218740000.0,3567522000.0,2696777000.0,521963000.0,610230000.0,False,[],1908375000.0,,,False,0.0,10.0
1741,4544,10.577664064148554,5.127664064148554,5.45,0.0,23.267467666090024,False,,0.631979695431472,243025000000.0,2.563832032074277,2641000000.0,2761000000.0,2.725,1.3981582,68.49484,49.04178380582441,0.8261829427432473,False,223764000000.0,279582000000.0,137112000000.0,86652000000.0,40885000000.0,False,[],236950000000.0,,,False,3.0092090000000002,9.68059460194147
1742,6588,10.540469045034525,10.540469045034525,0.0,0.0,22.168023463362946,False,実質無借金,0.3758511583154467,577023000000.0,5.270234522517263,20251000000.0,29937000000.0,-6.1680003999999995,1.3981584,10.467742,31.205845754985262,9.532253400845924,False,148713000000.0,346371000000.0,108088000000.0,40625000000.0,47945000000.0,False,[],548135000000.0,,,False,7.8922725,3.7352819183284205
1743,2984,10.53225561396523,8.22625561396523,2.306,0.0,17.79423346609827,False,,2.3346176405935357,20909686000.0,4.113127806982615,1753777000.0,682538000.0,1.153,0.5043251,46.953846,26.785933556399122,2.711120518866414,False,45281790000.0,50695657000.0,13579305000.0,31702485000.0,5708337000.0,False,[],20083621000.0,,,False,5.0,2.261977852133041
1744,2440,10.512012772796064,7.328012772796064,3.184,0.0,19.182002337257888,False,実質無借金,0.687502856169954,13458275000.0,3.664006386398032,262474000.0,211017000.0,1.592,1.8951843,203.5294,44.437733193385476,2.201584722855636,False,8345434000.0,11128907000.0,4945434000.0,3400000000.0,5042128000.0,False,[],12982592000.0,,,False,0.5240785000000003,8.145911064461824
1745,3557,10.48591957311781,10.48591957311781,0.0,0.0,10.48591957311781,False,,8.026683875790617,6492053000.0,5.242959786558905,115594000.0,59751000.0,-16.455999,7.588784,175.4417,8.616430532176942,2.61759743066177,False,3091224000.0,3974430000.0,342454000.0,2748770000.0,1480160000.0,False,[],6168634000.0,,,False,0.0,0.0
1746,4228,10.451003723179673,10.451003723179673,0.0,0.0,25.75114024896543,False,,0.8010631772643632,137072000000.0,5.225501861589836,642000000.0,-6282000000.0,-18.502001,0.44985503,7.0873785,35.90040957735727,0.5101600635713475,False,88090000000.0,136238000000.0,48910000000.0,39180000000.0,9587000000.0,False,[],130265000000.0,,,False,10.0,5.300136525785757
1747,2874,10.434284089949461,5.366284489949461,5.067999599999999,0.0,21.639048227203048,False,,1.3435831361423245,125563000000.0,2.6831422449747304,4238000000.0,1978000000.0,2.5339997999999997,0.8953251,36.490913,38.614292411760765,1.5682439326098103,False,189167000000.0,209034000000.0,80717000000.0,108450000000.0,3659000000.0,False,[],122282000000.0,,,False,5.0,6.204764137253589
1748,3173,10.354699064376485,10.354699064376485,0.0,0.0,18.779657123480884,False,,1.322762148337596,30127000000.0,5.177349532188242,554000000.0,36000000.0,-0.8069999499999999,0.8096211,172.83163022222223,30.274874177313198,2.1349922924465976,False,18164000000.0,25830000000.0,7820000000.0,10344000000.0,4823000000.0,False,[],28644000000.0,,,False,5.0,3.424958059104399
